Date,Open,High,Low,Close,Adj Close,Volume
2019-03-28,48250.000000,49550.000000,47900.000000,49200.000000,49200.000000,94971
2019-03-29,49300.000000,49650.000000,48250.000000,49000.000000,49000.000000,98205
2019-04-01,49100.000000,51200.000000,49100.000000,50600.000000,50600.000000,146330
2019-04-02,50900.000000,51400.000000,50200.000000,50700.000000,50700.000000,101815
2019-04-03,51000.000000,52200.000000,50400.000000,52000.000000,52000.000000,155430
2019-04-04,52200.000000,52900.000000,51200.000000,51500.000000,51500.000000,122976
2019-04-05,52200.000000,52900.000000,51500.000000,52700.000000,52700.000000,125315
2019-04-08,53200.000000,53200.000000,52200.000000,52600.000000,52600.000000,104133
2019-04-09,52600.000000,52600.000000,50500.000000,50800.000000,50800.000000,179711
2019-04-10,50400.000000,51300.000000,50300.000000,50800.000000,50800.000000,74799
2019-04-11,50900.000000,51600.000000,50800.000000,51200.000000,51200.000000,72608
2019-04-12,50800.000000,51800.000000,50400.000000,51200.000000,51200.000000,106678
2019-04-15,51800.000000,55000.000000,51100.000000,54600.000000,54600.000000,531441
2019-04-16,55400.000000,56200.000000,54100.000000,55800.000000,55800.000000,408581
2019-04-17,55800.000000,56500.000000,54200.000000,55400.000000,55400.000000,248702
2019-04-18,55900.000000,56000.000000,52600.000000,53200.000000,53200.000000,204269
2019-04-19,53700.000000,54300.000000,52300.000000,52800.000000,52800.000000,133534
2019-04-22,53000.000000,56300.000000,52800.000000,55300.000000,55300.000000,500892
2019-04-23,55100.000000,57500.000000,54500.000000,56700.000000,56700.000000,506875
2019-04-24,57200.000000,58800.000000,56600.000000,57900.000000,57900.000000,542015
2019-04-25,57800.000000,57800.000000,54600.000000,56000.000000,56000.000000,253497
2019-04-26,55400.000000,56300.000000,54300.000000,55600.000000,55600.000000,160834
2019-04-29,56400.000000,57400.000000,55300.000000,55600.000000,55600.000000,200238
2019-04-30,55700.000000,57200.000000,55600.000000,56400.000000,56400.000000,142899
2019-05-02,56800.000000,58200.000000,56300.000000,56300.000000,56300.000000,212137
2019-05-03,56700.000000,56700.000000,55400.000000,56300.000000,56300.000000,101038
2019-05-07,55400.000000,55800.000000,54000.000000,54600.000000,54600.000000,123975
2019-05-08,54000.000000,55800.000000,53600.000000,54700.000000,54700.000000,95539
2019-05-09,55000.000000,58400.000000,51500.000000,56900.000000,56900.000000,624559
2019-05-10,56100.000000,57400.000000,52700.000000,53500.000000,53500.000000,453070
2019-05-13,54000.000000,54100.000000,50300.000000,50900.000000,50900.000000,227093
2019-05-14,49150.000000,50700.000000,49000.000000,50300.000000,50300.000000,183123
2019-05-15,50600.000000,52100.000000,50400.000000,51400.000000,51400.000000,102555
